epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,339.504,0.59064,0.48147,1.08058,0.98068,1,0.995,0.85902,0.59321,0.3993,1.16506,0.00104986,0.00104986,0.00104986
69,344.423,0.60378,0.49659,1.11456,0.96781,1,0.995,0.86089,0.5911,0.42975,1.1625,0.0010442,0.0010442,0.0010442
70,349.345,0.56421,0.46758,1.08865,0.97625,0.99012,0.995,0.78617,0.78277,0.58467,1.3412,0.00103854,0.00103854,0.00103854
71,354.243,0.57509,0.46471,1.09528,0.96271,0.94444,0.98738,0.78927,0.66537,0.55979,1.23707,0.00103288,0.00103288,0.00103288
72,359.22,0.57443,0.46437,1.09484,0.96735,0.97713,0.995,0.84194,0.66357,0.39299,1.3056,0.00102722,0.00102722,0.00102722
73,364.138,0.56705,0.47411,1.08363,0.97593,1,0.995,0.87555,0.61291,0.35817,1.16062,0.00102156,0.00102156,0.00102156
74,369.112,0.5697,0.44635,1.086,0.98999,1,0.995,0.86939,0.60143,0.37138,1.1886,0.0010159,0.0010159,0.0010159
75,374.088,0.57626,0.46114,1.08846,0.86068,0.89384,0.9675,0.80403,0.62965,0.5888,1.12308,0.00101025,0.00101025,0.00101025
76,379.165,0.5812,0.47259,1.08497,0.85134,0.89256,0.951,0.82187,0.59626,0.7502,1.08761,0.00100459,0.00100459,0.00100459
77,384.275,0.58613,0.45876,1.09566,0.8091,0.97267,0.9675,0.8676,0.56923,0.59553,1.08346,0.000998928,0.000998928,0.000998928
78,389.252,0.53584,0.4365,1.06594,0.92471,0.97965,0.995,0.87666,0.58069,0.41455,1.10676,0.000993269,0.000993269,0.000993269
79,394.209,0.54237,0.44661,1.06251,0.94738,0.89729,0.995,0.85473,0.64659,0.50091,1.23931,0.00098761,0.00098761,0.00098761
80,399.159,0.54991,0.43392,1.08427,0.95981,0.95328,0.995,0.88533,0.61369,0.42749,1.13851,0.000981952,0.000981952,0.000981952
81,404.046,0.55012,0.43016,1.06594,0.89423,0.94444,0.98738,0.86006,0.58657,0.53876,1.13044,0.000976293,0.000976293,0.000976293
82,409.011,0.55563,0.43476,1.06787,0.95837,0.87527,0.995,0.87325,0.64042,0.58664,1.18752,0.000970634,0.000970634,0.000970634
83,413.933,0.54127,0.42126,1.05617,0.98016,0.99975,0.995,0.8547,0.59563,0.3828,1.15855,0.000964975,0.000964975,0.000964975
84,418.955,0.55592,0.43381,1.07103,0.98944,0.95178,0.995,0.83977,0.65673,0.44751,1.26469,0.000959316,0.000959316,0.000959316
85,423.969,0.55427,0.4448,1.07626,0.96143,0.95472,0.995,0.87499,0.63131,0.4214,1.16773,0.000953657,0.000953657,0.000953657
86,428.895,0.55384,0.43532,1.07274,0.9712,1,0.995,0.89865,0.62134,0.34977,1.21946,0.000947999,0.000947999,0.000947999
87,433.968,0.54088,0.4275,1.06509,0.86115,0.89641,0.98738,0.8654,0.63862,0.63119,1.24774,0.00094234,0.00094234,0.00094234
88,438.917,0.56502,0.44377,1.08535,0.86051,0.89731,0.995,0.87192,0.59496,0.59801,1.11602,0.000936681,0.000936681,0.000936681
89,443.821,0.54391,0.43694,1.06637,0.85821,0.89242,0.995,0.89566,0.55267,0.60148,1.04178,0.000931022,0.000931022,0.000931022
90,448.739,0.568,0.44693,1.08371,0.96567,0.84038,0.995,0.87866,0.59192,0.45931,1.11542,0.000925363,0.000925363,0.000925363
91,453.704,0.54001,0.41302,1.04511,0.8849,0.93553,0.995,0.86959,0.54685,0.50776,1.10483,0.000919704,0.000919704,0.000919704
92,458.686,0.53146,0.42313,1.06715,0.91272,0.94767,0.995,0.89689,0.51511,0.45849,1.02308,0.000914046,0.000914046,0.000914046
93,463.727,0.56961,0.43844,1.09217,0.97029,0.91698,0.995,0.90474,0.52378,0.39679,1.03386,0.000908387,0.000908387,0.000908387
94,468.691,0.53139,0.43206,1.05521,0.97689,0.99219,0.995,0.93632,0.48053,0.34136,1.02509,0.000902728,0.000902728,0.000902728
95,473.639,0.51333,0.39594,1.05295,0.98401,1,0.995,0.88401,0.58322,0.36423,1.11466,0.000897069,0.000897069,0.000897069
96,478.579,0.52484,0.40349,1.0538,0.98102,1,0.995,0.88036,0.60603,0.36413,1.17108,0.00089141,0.00089141,0.00089141
97,483.591,0.54226,0.41485,1.07079,0.95759,0.94423,0.995,0.88033,0.60502,0.37392,1.13763,0.000885751,0.000885751,0.000885751
98,488.599,0.53617,0.41819,1.05142,0.96565,0.97436,0.995,0.86108,0.59997,0.32864,1.17427,0.000880093,0.000880093,0.000880093
99,493.528,0.5278,0.41619,1.0531,0.98718,1,0.995,0.87859,0.61478,0.3417,1.17589,0.000874434,0.000874434,0.000874434
100,498.478,0.52438,0.40725,1.04359,0.94157,0.89227,0.995,0.8852,0.52504,0.45443,1.04497,0.000868775,0.000868775,0.000868775
